locationid,readingdate,dtwbelowcasing,wellname,current_stickup_height,measureby,conductivity,,,
1011,03/09/2011 16:30,0.77,1011,0.79,Richard Emerson,,,,
1012,03/09/2011 16:37,0.98,1012,1.07,Richard Emerson,,,,
1014,03/09/2011 16:45,1.48,1014,1.2,Richard Emerson,,,,
1056,03/09/2011 18:33,1.1,1056,0.88,Richard Emerson,,,,
1004,06/01/2011 11:47,1.18,1004,1.1,Richard Emerson,,,,
1002,06/01/2011 12:00,1.94,1002,0.89,Richard Emerson,,,,
1001,06/01/2011 12:12,1.17,1001,1.32,Richard Emerson,,,,
1003,06/01/2011 12:24,0.97,1003,1.07,Richard Emerson,,,,
1010,06/01/2011 12:45,2.33,1010,1.05,Richard Emerson,,,,
1008,06/01/2011 12:55,1.24,1008,1.05,Richard Emerson,,,,
1009,06/01/2011 13:02,1.21,1009,0.94,Richard Emerson,,,,
1007,06/01/2011 13:15,1.07,1007,1.23,Richard Emerson,,,,
1006,06/01/2011 13:25,0.94,1006,1.11,Richard Emerson,,,,
1005,06/01/2011 13:30,1.78,1005,0.88,Richard Emerson,,,,
1012,06/01/2011 14:08,0.92,1012,1.07,Richard Emerson,,,,
1011,06/01/2011 14:17,0.89,1011,0.79,Richard Emerson,,,,
1014,06/01/2011 14:26,1.67,1014,1.2,Richard Emerson,,,,
1013,06/01/2011 14:34,3.12,1013,0.82,Richard Emerson,,,,
1015,06/01/2011 14:48,2.23,1015,0.78,Richard Emerson,,,,
1016,06/01/2011 14:55,1.14,1016,2.17,Richard Emerson,,,,
1017,06/01/2011 15:04,0.84,1017,1.03,Richard Emerson,,,,
1018,06/01/2011 15:13,0.81,1018,0.71,Richard Emerson,,,,
1019,06/01/2011 15:21,0.71,1019,1.03,Richard Emerson,,,,
1020,06/01/2011 15:28,2.01,1020,0.68,Richard Emerson,,,,
1027,06/01/2011 16:27,2.42,1027,0.81,Richard Emerson,,,,
1028,06/01/2011 16:33,0.73,1028,0.58,Richard Emerson,,,,
1029,06/01/2011 16:40,1.23,1029,0.71,Richard Emerson,,,,
1030,06/01/2011 16:52,1.13,1030,1.2,Richard Emerson,,,,
1031,06/01/2011 17:04,0.44,1031,1.06,Richard Emerson,,,,
1032,06/01/2011 17:18,1.3,1032,0.44,Richard Emerson,,,,
1033,06/01/2011 17:28,-0.23,1033,1.56,Richard Emerson,,,,
1034,06/01/2011 17:36,-0.34,1034,1.21,Richard Emerson,,,,
1035,06/01/2011 17:45,-0.34,1035,0.58,Richard Emerson,,,,
1036,06/01/2011 17:55,1.49,1036,0.89,Richard Emerson,,,,
1051,06/02/2011 08:14,1.46,1051,0.94,Richard Emerson,,,,
1050,06/02/2011 08:26,0.95,1050,0.98,Richard Emerson,,,,
1048,06/02/2011 09:21,0.35,1048,0.86,Richard Emerson,,,,
1049,06/02/2011 09:30,0.32,1049,1.25,Richard Emerson,,,,
1021,06/02/2011 11:03,3.11,1021,1.06,Richard Emerson,,,,
1022,06/02/2011 11:11,1.23,1022,0.96,Richard Emerson,,,,
1023,06/02/2011 11:20,1.22,1023,1.17,Richard Emerson,,,,
1037,06/02/2011 11:35,1.01,1037,1.17,Richard Emerson,,,,
1038,06/02/2011 11:41,2.21,1038,2.33,Richard Emerson,,,,
1040,06/02/2011 11:58,3.07,1040,0.55,Richard Emerson,,,,
1041,06/02/2011 12:07,1.73,1041,0.75,Richard Emerson,,,,
1024,06/02/2011 12:17,1.77,1024,1,Richard Emerson,,,,
1025,06/02/2011 12:23,2.99,1025,0.86,Richard Emerson,,,,
1026,06/02/2011 12:32,0.83,1026,1,Richard Emerson,,,,
1042,06/02/2011 12:52,0.77,1042,1.17,Richard Emerson,,,,
1043,06/02/2011 13:03,1.33,1043,1.17,Richard Emerson,,,,
1044,06/02/2011 13:13,0.43,1044,0.32,Richard Emerson,,,,
1045,06/02/2011 13:26,0.8,1045,0.81,Richard Emerson,,,,
1039,06/02/2011 13:32,2.48,1039,0.14,Richard Emerson,,,,
1046,06/02/2011 13:39,0.99,1046,1.1,Richard Emerson,,,,
1047,06/02/2011 13:53,0.89,1047,1.02,Richard Emerson,,,,
1052,06/02/2011 14:06,0.42,1052,0.81,Richard Emerson,,,,
1053,06/02/2011 14:14,0.56,1053,0.85,Richard Emerson,,,,
1054,06/02/2011 14:22,0.54,1054,0.52,Richard Emerson,,,,
1055,06/02/2011 14:31,0.8,1055,1.09,Richard Emerson,,,,
1056,06/02/2011 14:41,1.03,1056,0.88,Richard Emerson,,,,
1057,06/02/2011 14:49,1.19,1057,1.02,Richard Emerson,,,,
1058,06/02/2011 15:35,0.05,1058,1.17,Richard Emerson,,,,
1059,06/02/2011 15:43,0.93,1059,1.18,Richard Emerson,,,,
1060,06/02/2011 15:52,0.08,1060,0.97,Richard Emerson,,,,
32,06/06/2011 13:39,1428.72,PW12,2.31,Paul Inkenbrandt,,,,
21,06/06/2011 15:14,40.33,PW07MX,3.39,Paul Inkenbrandt,,,,
19,06/06/2011 15:20,46.11,PW07A,1.6,Paul Inkenbrandt,,,,
20,06/06/2011 15:22,47.94,PW07B,1.85,Paul Inkenbrandt,,,,
23,06/06/2011 16:00,100.88,PW08B,1.81,Paul Inkenbrandt,,,,
22,06/06/2011 16:03,101.21,PW08A,1.28,Paul Inkenbrandt,,,,
30,06/06/2011 16:18,210.24,PW11D,2.06,Paul Inkenbrandt,,,,
31,06/06/2011 16:21,210.15,PW11E,2.03,Paul Inkenbrandt,,,,
28,06/06/2011 16:29,215.33,PW11B,1.26,Paul Inkenbrandt,,,,
29,06/06/2011 16:31,214.89,PW11C,1.04,Paul Inkenbrandt,,,,
72,06/06/2011 16:50,7.67,Needle Point BLM,1.9,Paul Inkenbrandt,,,,
57,06/06/2011 16:53,8.6,SG23B,2.43,Paul Inkenbrandt,,,,
71,06/06/2011 17:13,71.39,Snake Valley South MX,2.15,Paul Inkenbrandt,,,,
5,06/06/2011 17:24,30.23,PW02B,1.41,Paul Inkenbrandt,,,,
4,06/06/2011 17:26,31.05,PW02A,1.43,Paul Inkenbrandt,,,,
9,06/07/2011 07:50,593.39,PW04A,2.02,Paul Inkenbrandt,,,,
10,06/07/2011 08:00,593.12,PW04B,1.71,Paul Inkenbrandt,,,,
39,06/07/2011 08:32,82.62,AG15,1.56,Paul Inkenbrandt,,,,
41,06/07/2011 08:50,28.47,AG16B,1.09,Paul Inkenbrandt,,,,
42,06/07/2011 08:52,15.8,AG16C,1.69,Paul Inkenbrandt,,,,
40,06/07/2011 09:01,20.99,AG16A,1.98,Paul Inkenbrandt,,,,
3,06/07/2011 09:27,133.37,PW01C,2.18,Paul Inkenbrandt,,,,
1,06/07/2011 09:30,97.63,PW01A,2.58,Paul Inkenbrandt,,,,
2,06/07/2011 09:33,97.43,PW01B,2.28,Paul Inkenbrandt,,,,
35,06/07/2011 09:41,57.32,AG13C,1.95,Paul Inkenbrandt,,,,
34,06/07/2011 09:43,56.83,AG13B,1.47,Paul Inkenbrandt,,,,
33,06/07/2011 09:45,59.78,AG13A,1.34,Paul Inkenbrandt,,,,
11,06/07/2011 10:18,55.13,PW05A,1.86,Paul Inkenbrandt,,,,
12,06/07/2011 10:19,39.39,PW05B,1.63,Paul Inkenbrandt,,,,
13,06/07/2011 10:21,37.93,PW05C,1.39,Paul Inkenbrandt,,,,
36,06/07/2011 11:37,28.18,AG14A,1.57,Paul Inkenbrandt,,,,
37,06/07/2011 11:40,26.71,AG14B,0.84,Paul Inkenbrandt,,,,
38,06/07/2011 11:43,20.74,AG14C,0.46,Paul Inkenbrandt,,,,
73,06/07/2011 12:00,79.24,Eskdale MX,4.19,Paul Inkenbrandt,,,,
24,06/07/2011 12:10,176.88,PW09A,1.09,Paul Inkenbrandt,,,,
25,06/07/2011 12:15,177.22,PW09B,1,Paul Inkenbrandt,,,,
17,06/07/2011 12:35,109.08,PW06D,1.71,Paul Inkenbrandt,,,,
14,06/07/2011 12:39,108.73,PW06A,1.12,Paul Inkenbrandt,,,,
15,06/07/2011 12:41,108.46,PW06B,1.04,Paul Inkenbrandt,,,,
16,06/07/2011 12:43,108.19,PW06C,0.75,Paul Inkenbrandt,,,,
18,06/07/2011 12:52,82.73,PW06MX,0.39,Paul Inkenbrandt,,,,
69,06/07/2011 13:29,42.62,Twin Springs MX,0.21,Paul Inkenbrandt,,,,
60,06/07/2011 13:39,1.54,SG24C,1.91,Paul Inkenbrandt,,,,
59,06/07/2011 13:41,3.04,SG24B,1.78,Paul Inkenbrandt,,,,
58,06/07/2011 13:44,4.86,SG24A,3.02,Paul Inkenbrandt,,,,
68,06/07/2011 14:13,5.41,SG27,2.06,Paul Inkenbrandt,,,,
66,06/07/2011 15:19,1.33,SG26B,2.74,Paul Inkenbrandt,,,,
67,06/07/2011 15:19,1.05,SG26C,3.56,Paul Inkenbrandt,,,,
65,06/07/2011 15:23,4,SG26A,2.22,Paul Inkenbrandt,,,,
70,06/07/2011 16:22,20.15,Snake Valley North MX,2.13,Paul Inkenbrandt,,,,
74,06/08/2011 07:01,44.37,Baker Creek,0.79,Paul Inkenbrandt,,,,
61,06/08/2011 08:05,4.72,SG25A,2.1,Paul Inkenbrandt,,,,
63,06/08/2011 08:07,1.97,SG25C,2.16,Paul Inkenbrandt,,,,
62,06/08/2011 08:12,4.43,SG25B,2.22,Paul Inkenbrandt,,,,
64,06/08/2011 08:23,8.58,SG25D,2.32,Paul Inkenbrandt,,,,
47,06/08/2011 09:26,756.76,PW18,0.97,Paul Inkenbrandt,,,,
51,06/08/2011 10:35,293.33,PW20,0.93,Paul Inkenbrandt,,,,
46,06/08/2011 11:25,149.88,Coyote Knolls MX,3.52,Paul Inkenbrandt,,,,
43,06/08/2011 11:36,84.48,PW17A,1.79,Paul Inkenbrandt,,,,
45,06/08/2011 11:40,84.11,PW17C,2.01,Paul Inkenbrandt,,,,
44,06/08/2011 11:42,83.85,PW17B,2.01,Paul Inkenbrandt,,,,
75,06/08/2011 12:51,54.27,Central Tule MX,3.11,Paul Inkenbrandt,,,,
26,06/08/2011 13:19,542.61,PW10A,1.89,Paul Inkenbrandt,,,,
27,06/08/2011 13:29,522.55,PW10B,2.07,Paul Inkenbrandt,,,,
6,06/08/2011 16:19,205.64,PW03A,2.2,Paul Inkenbrandt,,,,
7,06/08/2011 16:21,199.53,PW03B,1.85,Paul Inkenbrandt,,,,
8,06/08/2011 16:33,177.06,PW03Z,1.74,Paul Inkenbrandt,,,,
136,06/09/2011 08:10,49.23,Callao Agricultural Well,0.69,Paul Inkenbrandt,,,,
54,06/09/2011 08:57,4.61,SG21C,2.51,Paul Inkenbrandt,,,,
53,06/09/2011 09:01,7.57,SG21B,2.36,Paul Inkenbrandt,,,,
52,06/09/2011 09:03,7.66,SG21A,2.43,Paul Inkenbrandt,,,,
55,06/09/2011 09:28,4.85,SG22A,2.83,Paul Inkenbrandt,,,,
56,06/09/2011 09:42,-1.74,SG22B,3.26,Paul Inkenbrandt,,,,
48,06/09/2011 10:56,197.82,PW19A,2.17,Paul Inkenbrandt,,,,
50,06/09/2011 10:59,198.04,PW19C,2.46,Paul Inkenbrandt,,,,
49,06/09/2011 11:15,195.04,PW19B,1.69,Paul Inkenbrandt,,,,
32,09/12/2011 12:33,1428.76,PW12,2.31,Paul Inkenbrandt,,,,
21,09/12/2011 13:22,40.65,PW07MX,3.39,Paul Inkenbrandt,,,,
20,09/12/2011 13:29,48.27,PW07B,1.85,Paul Inkenbrandt,,,,
19,09/12/2011 13:32,46.26,PW07A,1.6,Paul Inkenbrandt,,,,
23,09/12/2011 14:09,100.7,PW08B,1.81,Paul Inkenbrandt,,,,
22,09/12/2011 14:15,101.05,PW08A,1.28,Paul Inkenbrandt,,,,
30,09/12/2011 14:31,210.29,PW11D,2.06,Paul Inkenbrandt,,,,
31,09/12/2011 14:33,210.18,PW11E,2.03,Paul Inkenbrandt,,,,
28,09/12/2011 14:50,215.33,PW11B,1.26,Paul Inkenbrandt,,,,
29,09/12/2011 14:55,214.91,PW11C,1.04,Paul Inkenbrandt,,,,
57,09/12/2011 15:35,9.88,SG23B,2.43,Paul Inkenbrandt,,,,
72,09/12/2011 15:37,8.94,Needle Point BLM,1.9,Paul Inkenbrandt,,,,
71,09/12/2011 15:58,71.66,Snake Valley South MX,2.15,Paul Inkenbrandt,,,,
4,09/12/2011 16:11,31.81,PW02A,1.43,Paul Inkenbrandt,,,,
5,09/12/2011 16:16,30.7,PW02B,1.41,Paul Inkenbrandt,,,,
9,09/13/2011 07:34,593.38,PW04A,2.02,Paul Inkenbrandt,,,,
10,09/13/2011 07:42,593.11,PW04B,1.71,Paul Inkenbrandt,,,,
39,09/13/2011 08:16,84.27,AG15,1.56,Paul Inkenbrandt,,,,
42,09/13/2011 08:55,16.26,AG16C,1.69,Paul Inkenbrandt,,,,
41,09/13/2011 08:57,31.51,AG16B,1.09,Paul Inkenbrandt,,,,
40,09/13/2011 09:06,24.73,AG16A,1.98,Paul Inkenbrandt,,,,
1,09/13/2011 09:31,95.41,PW01A,2.58,Paul Inkenbrandt,,,,
3,09/13/2011 09:36,130.29,PW01C,2.18,Paul Inkenbrandt,,,,
2,09/13/2011 09:38,95.44,PW01B,2.28,Paul Inkenbrandt,,,,
34,09/13/2011 09:48,63.71,AG13B,1.47,Paul Inkenbrandt,,,,
33,09/13/2011 09:56,61.15,AG13A,1.34,Paul Inkenbrandt,,,,
35,09/13/2011 09:56,64.91,AG13C,1.95,Paul Inkenbrandt,,,,
11,09/13/2011 10:16,55.21,PW05A,1.86,Paul Inkenbrandt,,,,
12,09/13/2011 10:18,39.41,PW05B,1.63,Paul Inkenbrandt,,,,
13,09/13/2011 10:20,38.11,PW05C,1.39,Paul Inkenbrandt,,,,
67,09/13/2011 11:56,2.38,SG26C,3.56,Paul Inkenbrandt,,,,
66,09/13/2011 11:58,2.45,SG26B,2.74,Paul Inkenbrandt,,,,
65,09/13/2011 12:00,5.82,SG26A,2.22,Paul Inkenbrandt,,,,
68,09/13/2011 12:42,9.35,SG27,2.06,Paul Inkenbrandt,,,,
58,09/13/2011 13:09,6.43,SG24A,3.02,Paul Inkenbrandt,,,,
59,09/13/2011 13:11,4.35,SG24B,1.78,Paul Inkenbrandt,,,,
60,09/13/2011 13:16,2.14,SG24C,1.91,Paul Inkenbrandt,,,,
69,09/13/2011 13:26,42.82,Twin Springs MX,0.21,Paul Inkenbrandt,,,,
25,09/13/2011 14:09,177.45,PW09B,1,Paul Inkenbrandt,,,,
17,09/13/2011 14:12,109.19,PW06D,1.71,Paul Inkenbrandt,,,,
14,09/13/2011 14:17,108.81,PW06A,1.12,Paul Inkenbrandt,,,,
15,09/13/2011 14:20,108.57,PW06B,1.04,Paul Inkenbrandt,,,,
16,09/13/2011 14:22,108.3,PW06C,0.75,Paul Inkenbrandt,,,,
18,09/13/2011 14:38,82.83,PW06MX,0.39,Paul Inkenbrandt,,,,
24,09/13/2011 15:09,177.1,PW09A,1.09,Paul Inkenbrandt,,,,
73,09/13/2011 15:22,79.63,Eskdale MX,4.19,Paul Inkenbrandt,,,,
36,09/13/2011 15:36,28.27,AG14A,1.57,Paul Inkenbrandt,,,,
37,09/13/2011 15:40,26.7,AG14B,0.84,Paul Inkenbrandt,,,,
38,09/13/2011 15:43,20.81,AG14C,0.46,Paul Inkenbrandt,,,,
74,09/13/2011 15:56,44.51,Baker Creek,0.79,Paul Inkenbrandt,,,,
70,09/14/2011 07:59,20.93,Snake Valley North MX,2.13,Paul Inkenbrandt,,,,
62,09/14/2011 09:04,5.14,SG25B,2.22,Paul Inkenbrandt,,,,
63,09/14/2011 09:07,2.64,SG25C,2.16,Paul Inkenbrandt,,,,
61,09/14/2011 09:09,5.31,SG25A,2.1,Paul Inkenbrandt,,,,
64,09/14/2011 09:20,9.55,SG25D,2.32,Paul Inkenbrandt,,,,
47,09/14/2011 10:47,756.7,PW18,0.97,Paul Inkenbrandt,,,,
51,09/14/2011 11:42,293.05,PW20,0.93,Paul Inkenbrandt,,,,
43,09/14/2011 13:04,84.41,PW17A,1.79,Paul Inkenbrandt,,,,
44,09/14/2011 13:08,83.78,PW17B,2.01,Paul Inkenbrandt,,,,
45,09/14/2011 13:10,84.04,PW17C,2.01,Paul Inkenbrandt,,,,
46,09/14/2011 13:24,149.81,Coyote Knolls MX,3.52,Paul Inkenbrandt,,,,
75,09/14/2011 14:07,54.17,Central Tule MX,3.11,Paul Inkenbrandt,,,,
26,09/14/2011 14:58,542.5,PW10A,1.89,Paul Inkenbrandt,,,,
27,09/14/2011 15:05,522.3,PW10B,2.07,Paul Inkenbrandt,,,,
6,09/14/2011 17:01,197.75,PW03A,2.2,Paul Inkenbrandt,,,,
7,09/14/2011 17:10,191.15,PW03B,1.85,Paul Inkenbrandt,,,,
8,09/14/2011 17:14,168.5,PW03Z,1.74,Paul Inkenbrandt,,,,
136,09/15/2011 09:09,56.67,Callao Agricultural Well,0.69,Paul Inkenbrandt,,,,
53,09/15/2011 09:52,7.35,SG21B,2.36,Paul Inkenbrandt,,,,
52,09/15/2011 09:56,7.42,SG21A,2.43,Paul Inkenbrandt,,,,
54,09/15/2011 10:01,4.55,SG21C,2.51,Paul Inkenbrandt,,,,
55,09/15/2011 10:18,4.7,SG22A,2.83,Paul Inkenbrandt,,,,
48,09/15/2011 11:41,197.6,PW19A,2.17,Paul Inkenbrandt,,,,
50,09/15/2011 11:59,197.81,PW19C,2.46,Paul Inkenbrandt,,,,
49,09/15/2011 12:19,194.83,PW19B,1.69,Paul Inkenbrandt,,,,
1011,10/28/2011 10:00,0.73,1011,0.79,Richard Emerson,,,,
1014,10/28/2011 10:00,1.59,1014,1.2,Richard Emerson,,,,
32,12/05/2011 14:15,1428.7,PW12,2.31,Paul Inkenbrandt,,,,
21,12/05/2011 15:20,40.74,PW07MX,3.39,Paul Inkenbrandt,,,,
20,12/05/2011 15:28,48.27,PW07B,1.85,Paul Inkenbrandt,,,,
19,12/05/2011 15:32,46.33,PW07A,1.6,Paul Inkenbrandt,,,,
22,12/05/2011 16:22,100.51,PW08A,1.28,Paul Inkenbrandt,,,,
23,12/05/2011 16:22,100.83,PW08B,1.81,Paul Inkenbrandt,,,,
28,12/05/2011 16:35,215.51,PW11B,1.26,Paul Inkenbrandt,,,,
31,12/05/2011 16:39,210.36,PW11E,2.03,Paul Inkenbrandt,,,,
30,12/05/2011 16:45,210.36,PW11D,2.06,Paul Inkenbrandt,,,,
29,12/05/2011 16:52,215.07,PW11C,1.04,Paul Inkenbrandt,,,,
72,12/05/2011 17:22,8.19,Needle Point BLM,1.9,Paul Inkenbrandt,,,,
57,12/05/2011 17:24,9.12,SG23B,2.43,Paul Inkenbrandt,,,,
42,12/05/2011 17:50,16.53,AG16C,1.69,Paul Inkenbrandt,,,,
41,12/05/2011 17:52,19.41,AG16B,1.09,Paul Inkenbrandt,,,,
40,12/05/2011 17:55,21.33,AG16A,1.98,Paul Inkenbrandt,,,,
9,12/06/2011 09:00,593.42,PW04A,2.02,Paul Inkenbrandt,,,,
10,12/06/2011 09:05,593.14,PW04B,1.71,Paul Inkenbrandt,,,,
39,12/06/2011 09:38,83.71,AG15,1.56,Paul Inkenbrandt,,,,
71,12/06/2011 10:02,71.61,Snake Valley South MX,2.15,Paul Inkenbrandt,,,,
4,12/06/2011 10:18,31.03,PW02A,1.43,Paul Inkenbrandt,,,,
5,12/06/2011 10:22,30.08,PW02B,1.41,Paul Inkenbrandt,,,,
1,12/06/2011 10:53,95.35,PW01A,2.58,Paul Inkenbrandt,,,,
2,12/06/2011 10:55,95.29,PW01B,2.28,Paul Inkenbrandt,,,,
3,12/06/2011 10:57,128.21,PW01C,2.18,Paul Inkenbrandt,,,,
35,12/06/2011 11:04,57.94,AG13C,1.95,Paul Inkenbrandt,,,,
34,12/06/2011 11:06,57.43,AG13B,1.47,Paul Inkenbrandt,,,,
33,12/06/2011 11:11,59.07,AG13A,1.34,Paul Inkenbrandt,,,,
38,12/06/2011 11:50,20.62,AG14C,0.46,Paul Inkenbrandt,,,,
37,12/06/2011 11:52,26.45,AG14B,0.84,Paul Inkenbrandt,,,,
36,12/06/2011 11:54,28.07,AG14A,1.57,Paul Inkenbrandt,,,,
73,12/06/2011 12:12,79.55,Eskdale MX,4.19,Paul Inkenbrandt,,,,
24,12/06/2011 12:25,177.19,PW09A,1.09,Paul Inkenbrandt,,,,
25,12/06/2011 12:30,177.48,PW09B,1,Paul Inkenbrandt,,,,
17,12/06/2011 12:49,109.3,PW06D,1.71,Paul Inkenbrandt,,,,
14,12/06/2011 12:52,108.92,PW06A,1.12,Paul Inkenbrandt,,,,
15,12/06/2011 12:55,108.64,PW06B,1.04,Paul Inkenbrandt,,,,
16,12/06/2011 12:57,108.37,PW06C,0.75,Paul Inkenbrandt,,,,
18,12/06/2011 13:05,82.91,PW06MX,0.39,Paul Inkenbrandt,,,,
69,12/06/2011 13:42,42.77,Twin Springs MX,0.21,Paul Inkenbrandt,,,,
59,12/06/2011 13:50,3.74,SG24B,1.78,Paul Inkenbrandt,,,,
58,12/06/2011 13:52,5.65,SG24A,3.02,Paul Inkenbrandt,,,,
60,12/06/2011 13:56,2.19,SG24C,1.91,Paul Inkenbrandt,,,,
70,12/06/2011 14:43,20.89,Snake Valley North MX,2.13,Paul Inkenbrandt,,,,
74,12/06/2011 15:09,44.49,Baker Creek,0.79,Paul Inkenbrandt,,,,
12,12/06/2011 15:38,39.3,PW05B,1.63,Paul Inkenbrandt,,,,
13,12/06/2011 15:40,38.03,PW05C,1.39,Paul Inkenbrandt,,,,
11,12/06/2011 15:42,55.34,PW05A,1.86,Paul Inkenbrandt,,,,
68,12/07/2011 08:12,8.64,SG27,2.06,Paul Inkenbrandt,,,,
65,12/07/2011 08:40,4.27,SG26A,2.22,Paul Inkenbrandt,,,,
63,12/07/2011 09:51,2.28,SG25C,2.16,Paul Inkenbrandt,,,,
62,12/07/2011 09:54,4.78,SG25B,2.22,Paul Inkenbrandt,,,,
61,12/07/2011 09:55,4.99,SG25A,2.1,Paul Inkenbrandt,,,,
64,12/07/2011 10:06,9.12,SG25D,2.32,Paul Inkenbrandt,,,,
51,12/07/2011 11:15,293.15,PW20,0.93,Paul Inkenbrandt,,,,
46,12/07/2011 12:01,149.9,Coyote Knolls MX,3.52,Paul Inkenbrandt,,,,
43,12/07/2011 12:13,84.5,PW17A,1.79,Paul Inkenbrandt,,,,
45,12/07/2011 12:22,84.09,PW17C,2.01,Paul Inkenbrandt,,,,
44,12/07/2011 12:24,83.87,PW17B,2.01,Paul Inkenbrandt,,,,
75,12/07/2011 13:21,54.31,Central Tule MX,3.11,Paul Inkenbrandt,,,,
27,12/07/2011 13:52,522.26,PW10B,2.07,Paul Inkenbrandt,,,,
26,12/07/2011 14:00,542.59,PW10A,1.89,Paul Inkenbrandt,,,,
6,12/08/2011 08:40,197.65,PW03A,2.2,Paul Inkenbrandt,,,,
7,12/08/2011 08:43,191.09,PW03B,1.85,Paul Inkenbrandt,,,,
8,12/08/2011 08:48,169.34,PW03Z,1.74,Paul Inkenbrandt,,,,
136,12/08/2011 10:35,54.45,Callao Agricultural Well,0.69,Paul Inkenbrandt,,,,
53,12/08/2011 11:15,7.65,SG21B,2.36,Paul Inkenbrandt,,,,
54,12/08/2011 11:17,4.74,SG21C,2.51,Paul Inkenbrandt,,,,
52,12/08/2011 11:22,7.71,SG21A,2.43,Paul Inkenbrandt,,,,
55,12/08/2011 11:37,5.1,SG22A,2.83,Paul Inkenbrandt,,,,
56,12/08/2011 11:50,-2.83,SG22B,3.26,Paul Inkenbrandt,,,,
50,12/08/2011 13:13,197.99,PW19C,2.46,Paul Inkenbrandt,,,,
48,12/08/2011 13:16,197.69,PW19A,2.17,Paul Inkenbrandt,,,,
49,12/08/2011 13:20,195,PW19B,1.69,Paul Inkenbrandt,,,,
1,01/18/2012 10:20,95.11,PW01A,2.58,Hugh Hurlow,,,,
1,01/18/2012 12:02,95.06,PW01A,2.58,Hugh Hurlow,,,,
35,01/18/2012 12:16,56.31,AG13C,1.95,Hugh Hurlow,,,,
34,01/18/2012 12:20,58.35,AG13B,1.47,Hugh Hurlow,,,,
35,01/18/2012 13:57,57,AG13C,1.95,Hugh Hurlow,,,,
34,01/18/2012 14:35,58.3,AG13B,1.47,Hugh Hurlow,,,,
33,01/18/2012 14:43,57.41,AG13A,1.34,Hugh Hurlow,,,,
33,01/18/2012 15:54,58.5,AG13A,1.34,Hugh Hurlow,,,,
21,02/27/2012 13:41,40.64,PW07MX,3.39,Hugh Hurlow,,,,
19,02/27/2012 13:46,46.11,PW07A,1.6,Hugh Hurlow,,,,
20,02/27/2012 13:49,47.97,PW07B,1.85,Hugh Hurlow,,,,
22,02/27/2012 14:36,100.41,PW08A,1.28,Hugh Hurlow,,,,
23,02/27/2012 14:41,100.09,PW08B,1.81,Hugh Hurlow,,,,
30,02/27/2012 15:00,210.25,PW11D,2.06,Hugh Hurlow,,,,
31,02/27/2012 15:03,210.14,PW11E,2.03,Hugh Hurlow,,,,
28,02/27/2012 15:15,215.31,PW11B,1.26,Hugh Hurlow,,,,
29,02/27/2012 15:20,214.9,PW11C,1.04,Hugh Hurlow,,,,
57,02/27/2012 15:37,8.29,SG23B,2.43,Hugh Hurlow,,,,
72,02/27/2012 15:40,7.38,Needle Point BLM,1.9,Hugh Hurlow,,,,
71,02/27/2012 16:46,71.45,Snake Valley South MX,2.15,Hugh Hurlow,,,,
4,02/27/2012 16:57,30.55,PW02A,1.43,Hugh Hurlow,,,,
5,02/27/2012 16:58,29.48,PW02B,1.41,Hugh Hurlow,,,,
41,02/27/2012 17:13,19.09,AG16B,1.09,Hugh Hurlow,,,,
42,02/27/2012 17:14,16.2,AG16C,1.69,Hugh Hurlow,,,,
40,02/27/2012 17:16,20.94,AG16A,1.98,Hugh Hurlow,,,,
34,02/27/2012 17:41,55.34,AG13B,1.47,Hugh Hurlow,,,,
35,02/27/2012 17:42,55.9,AG13C,1.95,Hugh Hurlow,,,,
33,02/27/2012 17:47,56.58,AG13A,1.34,Hugh Hurlow,,,,
34,02/28/2012 07:35,55.43,AG13B,1.47,Hugh Hurlow,,,,
9,02/28/2012 08:41,593.3,PW04A,2.02,Hugh Hurlow,,,,
10,02/28/2012 08:47,593.04,PW04B,1.71,Hugh Hurlow,,,,
39,02/28/2012 09:20,82.55,AG15,1.56,Hugh Hurlow,,,,
1,02/28/2012 09:55,95.08,PW01A,2.58,Hugh Hurlow,,,,
2,02/28/2012 09:57,95.01,PW01B,2.28,Hugh Hurlow,,,,
3,02/28/2012 09:59,126.63,PW01C,2.18,Hugh Hurlow,,,,
11,02/28/2012 10:34,55.35,PW05A,1.86,Hugh Hurlow,,,,
12,02/28/2012 10:36,39.09,PW05B,1.63,Hugh Hurlow,,,,
13,02/28/2012 10:38,37.88,PW05C,1.39,Hugh Hurlow,,,,
74,02/28/2012 11:04,44.33,Baker Creek,0.79,Hugh Hurlow,,,,
36,02/28/2012 11:19,27.64,AG14A,1.57,Hugh Hurlow,,,,
37,02/28/2012 11:23,26,AG14B,0.84,Hugh Hurlow,,,,
38,02/28/2012 11:24,20.12,AG14C,0.46,Hugh Hurlow,,,,
73,02/28/2012 11:36,79.14,Eskdale MX,4.19,Hugh Hurlow,,,,
25,02/28/2012 11:50,177.18,PW09B,1,Hugh Hurlow,,,,
24,02/28/2012 11:54,176.85,PW09A,1.09,Hugh Hurlow,,,,
14,02/28/2012 12:35,108.88,PW06A,1.12,Hugh Hurlow,,,,
15,02/28/2012 12:37,108.59,PW06B,1.04,Hugh Hurlow,,,,
17,02/28/2012 12:42,109.19,PW06D,1.71,Hugh Hurlow,,,,
18,02/28/2012 12:50,82.88,PW06MX,0.39,Hugh Hurlow,,,,
