"objectid","locationid","locationname","locationtype","locationdesc","huc8","huc12","altlocationcontext","altlocationid","latitude","longitude","horizontalaccmeasurevalue","horizontalaccmeasureunit","horizontalcollectionmethod","horizontalcoordrefsystem","verticalmeasure","verticalunit","verticalcollectionmethod","verticalcoordrefsystem","state","county","welltype","aquifername","wellformationtype","welldepthmeasureunit","attachmentfilename","wlnetworkname","wlbaseline","wlwelltype","wlwellcharacteristics","qwnetworkname","qwbaseline","qwwelltype","qwwellcharacteristics","link","nationalaquifer","welldepth","geology","priority","usgs_id","win","send","aquifertype","display","siteid","wrnum","linkgeophysicallog","imagepath","notes","linklithologiclog","linkdevelopmentlog","loggertype","baroefficiency","baroefficiencystart","locationdatatable","barologgertype","installdate","enddate","locstatus","personnel","inwqx","shape","stickup"
310,"401747111383101","B-4","Well",NULL,"16020203","160202030505",NULL,104,"40.29633100","-111.64205100",1,"ft","GPS Carrier Phase Kinematic Relative Position","NAD83","5212.00000000","ft","Digital Elevation Model","NAVD88","UT","049","Piezometer",NULL,NULL,"ft",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"63.97000000",NULL,NULL,NULL,NULL,"0",NULL,"1",46,NULL,NULL,"SherwoodHills_B-4small.jpg",NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C00000001000000A480D7DC9E038491A0A3B50800000000","-0.57000000"
117,"373808112401501","Mammoth Spring","Spring","SE of campground near stream channel","16030001","160300010201",NULL,NULL,"37.63543500","-112.67094300",10,"ft","GPS-Unspecified","NAD83","8125.36000000","ft","Digital Elevation Model","NAVD88","UT","017",NULL,"124CLAR","Carbonate Bedrock",NULL,"","","No","","","UGS-NGWMN","No","Trend","Background","","300COPLTS",NULL,NULL,"UGS sample","373807112401501",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C000000010000008CC487E797038CB7EEAD9F0810000000",NULL
118,"370820113293501","Bastian Spring","Spring","NE end of pond; 81 - Turner","15010008","150100080908",NULL,NULL,"37.13998000","-113.49490100",10,"ft","GPS-Unspecified","NAD83","2907.11000000","ft","Digital Elevation Model","NAVD88","UT","053","Irrigation","227NVJO","",NULL,"Water Rights Link","","No","","","UGS-NGWMN","No","Trend","Background","http://www.waterrights.utah.gov/cblapps/wrprint.exe?wrnum=81-4070","N9999OTHER",NULL,NULL,"UGS sample","370820113293501",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C000000010000009683E2A3920399CEF7B09B0868233401",NULL
119,"414234112551701","Bar M Spring","Spring","Locomotive Springs","16020309","160203090406",NULL,NULL,"41.70972500","-112.92144700",10,"ft","GPS-Unspecified","NAD83","4219.03000000","ft","Digital Elevation Model","NAVD88","UT","003",NULL,"120VLCC","",NULL,"","","No","","","UGS-NGWMN","No","Trend","Background","","N100BSNRGB",NULL,NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C0000000100000099DFCCF0960395FDD78AC10830300000",NULL
120,"392603112375001","Industrial well Woodrow","Well","11318.68","16030005","160300050805",NULL,NULL,"39.43407500","-112.63042400",10,"ft","GPS-Unspecified","NAD83","4606.86000000","ft","Digital Elevation Model","NAVD88","UT","027","Other","100VLFL","Unconsolidated Sediment","ft","","","No","","","UGS-NGWMN","No","Trend","Background","","N100BSNRGB","227.00000000",NULL,"UGS sample","",11318,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000B7B8F4AA98039F99E59CAE08920399CE",NULL
121,"402311111251401","Wallsburg Spring","Spring",NULL,"16020203","160202030404",NULL,NULL,"40.38643200","-111.42137600",10,"ft","GPS-Unspecified","NAD83","5659.18000000","ft","Digital Elevation Model","NAVD88","UT","051","","310OQRR","",NULL,"","","No","","","UGS-NGWMN","No","Trend","Background","","N9999OTHER",NULL,NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C0000000100000086F88090A003A48DC681B608303000FD",NULL
122,"402941111281001","Midway Fish Well","Well",NULL,"16020203","160202030305",NULL,NULL,"40.49485900","-111.46964600",10,"ft","GPS-Unspecified","NAD83","5447.56000000","ft","Digital Elevation Model","NAVD88","UT","051","Water Supply/Production","100VLFL","Unconsolidated Sediment","ft","","","No","","","UGS-NGWMN","No","Trend","Suspected / Anticipated Changes","http://www.waterrights.utah.gov/cblapps/wrprint.exe?wrnum=55-9602","N100BSNRGB","366.00000000",NULL,"UGS sample","",27837,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000B3E8C5E99F039BEDC2F4B6088CB96BA9",NULL
123,"403724111133401","Samak Fish Well","Spring",NULL,"16020101","160201010101",NULL,NULL,"40.62313000","-111.22686500",10,"ft","GPS-Unspecified","NAD83","6762.78000000","ft","Digital Elevation Model","NAVD88","UT","043","","330DSRT","","ft","","","No","","","UGS-NGWMN","No","Trend","Background","http://www.waterrights.utah.gov/cblapps/wrprint.exe?wrnum=35-5505","N9999OTHER","200.00000000",NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C000000010000009FCA8CAEA10394AFC4FBB70801000000",NULL
124,"403807111284401","Deer Valley Spring","Spring",NULL,"16020101","160201010403",NULL,NULL,"40.63543800","-111.47959300",10,"ft","GPS-Unspecified","NAD83","7304.90000000","ft","Digital Elevation Model","NAVD88","UT","043",NULL,"310WEBR","",NULL,"","","No","","","UGS-NGWMN","No","Trend","Background","","N9999OTHER",NULL,NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000A0C7A8E29F0383EEB089B80868233401",NULL
125,"410215111392000","Como Spring","Spring",NULL,"16020102","160201020401",NULL,NULL,"41.03723300","-111.65665800",10,"ft","GPS-Unspecified","NAD83","5109.06000000","ft","Digital Elevation Model","NAVD88","UT","029",NULL,"330MDSN","",NULL,"","","No","","","UGS-NGWMN","No","Trend","Background","","N9999OTHER",NULL,NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000B7D3DAD69E0381FAD4B3BB0801000000",NULL
126,"410353111425201","Stoddard Well","Well",NULL,"16020102","160201020403",NULL,NULL,"41.06478700","-111.71453700",10,"ft","GPS-Unspecified","NAD83","5000.41000000","ft","Digital Elevation Model","NAVD88","UT","029","Domestic","100VLFL","","ft","","","No","","","UGS-NGWMN","No","Trend","Background","http://www.waterrights.utah.gov/cblapps/wrprint.exe?wrnum=35-11739","N9999OTHER","120.00000000",NULL,"UGS sample","",436237,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000BEBEC6A89E038BC299D1BB0830313030",NULL
127,"404259111202301","Woodenshoe Well","Well",NULL,"16020101","160201010401",NULL,NULL,"40.71640900","-111.33976600",10,"ft","GPS-Unspecified","NAD83","6213.92000000","ft","Digital Elevation Model","NAVD88","UT","043","Domestic","100VLFL","","ft","","","No","","","UGS-NGWMN","No","Trend","Background","http://www.waterrights.utah.gov/cblapps/exprint.exe?exnum=E5025","N9999OTHER","85.00000000",NULL,"UGS sample","",432308,"1","Confined","0",-1,"35-12368",NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C0000000100000089F1B4D3A00382B4C9DEB80800000000",NULL
128,"390129110085301","1800_N_shallow","Well","91-9637","14060008","140600080208",NULL,NULL,"39.02475900","-110.14817800",10,"ft","GPS-Unspecified","NAD83","4070.43000000","ft","Digital Elevation Model","NAVD88","UT","015","Water Supply/Production","100ALVM","Unconsolidated Sediment","ft","","","No","","","UGS-NGWMN","No","Trend","Suspected / Anticipated Changes","","N100BSNRGB","23.00000000","AlluvialUnConf","UGS sample","",9637,"1","Unconfined","0",-1,"91-9637",NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000BCD6A4A4A8038783E5E2AA0832303639",NULL
129,"401539112045501","(C-6-2)32aaa-1 Fairfield","Well",NULL,"16020201","160202010406",NULL,NULL,"40.26092800","-112.08339000",10,"ft","GPS-Unspecified","NAD83","4868.88000000","ft","Digital Elevation Model","NAVD88","UT","049","Water Supply/Production","100VLFL","Unconsolidated Sediment","ft","","","No","","","UGS-NGWMN","No","Trend","Background","","N100BSNRGB","180.00000000",NULL,"UGS sample","401539112045501",13525,"1","Confined","0",-1,"54-417",NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C000000010000008F92C1F69B03A0A0A081B50800000000",NULL
130,"402050112330201","Clover Springs","Spring","15-402050112330201(Clover Springs)","16020304","160203040303",NULL,NULL,"40.34626700","-112.55101900",10,"ft","GPS-Unspecified","NAD83","5960.91000000","ft","Digital Elevation Model","NAVD88","UT","045",NULL,"331GRBL","",NULL,"","","No","","","UGS-NGWMN","Yes","Trend","Background","http://www.waterrights.utah.gov/cblapps/wrprint.exe?wrnum=15-2108","N400BSNRGC",NULL,NULL,"UGS sample","402050112330201",NULL,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C000000010000009A8AEDFC98039F949DE1B50800000000",NULL
131,"403328112442201","Delle Springs","Spring",NULL,"16020305","160203050504",NULL,NULL,"40.55776300","-112.73928500",10,"ft","GPS-Unspecified","NAD83","4344.58000000","ft","Digital Elevation Model","NAVD88","UT","045",NULL,"100VLFL","",NULL,"","","No","","","UGS-NGWMN","No","Trend","Background","","N100BSNRGB",NULL,NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000A3DEE2E89703879DFBC3B70820000000",NULL
132,"401043111361801","Springville Fish Hatchery","Spring",NULL,"16020202","160202020405",NULL,NULL,"40.17856100","-111.60494000",10,"ft","GPS-Unspecified","NAD83","4543.67000000","ft","Digital Elevation Model","NAVD88","UT","049","","100VLFL","",NULL,"","","No","","","UGS-NGWMN","No","Trend","Background","","N100BSNRGB",NULL,NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000A9D1F5F99E03B99AAFA6B40830313030",NULL
133,"402105111472601","(D-5-1)25ccb-1","Well",NULL,"16020201","160202010803",NULL,NULL,"40.35138100","-111.79143300",10,"ft","GPS-Unspecified","NAD83","4512.64000000","ft","Digital Elevation Model","NAVD88","UT","049","Irrigation","100VLFL","","ft","","","No","","","UGS-NGWMN","No","Trend","Background","","N100BSNRGB","315.00000000",NULL,"UGS sample","402105111472601",NULL,"1","Confined","0",-1,"55-2534",NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C0000000100000090E890E49D03B0DFBFDEB50800000000",NULL
134,"390623113084101","Sevier Lake Hwy 50/6","Well","Sevier Lake Hwy 50/6","16030009","160300090409",NULL,NULL,"39.10639200","-113.14472500",10,"ft","GPS-Unspecified","NAD83","4544.97000000","ft","Digital Elevation Model","NAVD88","UT","027","Observation","100VLFL","Unconsolidated Sediment","ft","",NULL,NULL,"","","UGS-NGWMN","No","Trend","Background","","N100BSNRGB","150.00000000",NULL,"UGS sample","390623113084101",435352,"1","Confined","0",-1,"1169003M00",NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000AAF4C4FC9403929BE3CAAB0839443033",NULL
135,"384215113165701","Wah Wah - Sevier Divide","Well","Wah Wah - Sevier Divide","16030009","160300090301",NULL,NULL,"38.70417300","-113.28250500",10,"ft","GPS-Unspecified","NAD83","4618.17000000","ft","Digital Elevation Model","NAVD88","UT","027","Observation","100VLFL","Unconsolidated Sediment","ft","",NULL,"No","","","UGS-NGWMN","No","Trend","Background","","N100BSNRGB","201.00000000",NULL,"UGS sample","384215113165701",435375,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000BAD3A080940390E7E7A3A8089403929B",NULL
136,"382238113205301","Antelope Spring","Spring","","16030009","160300090102",NULL,NULL,"38.37722200","-113.34805800",10,"ft","GPS-Unspecified","NAD83","5570.73000000","ft","Digital Elevation Model","NAVD88","UT","001",NULL,"120VLCC","Fractured Bedrock",NULL,"","","No","","","UGS-NGWMN","No","Trend","Background","","N400BSNRGC",NULL,NULL,"UGS sample","382238113205301",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000BBEB85C193039D9591CBA508303000CD",NULL
137,"401656112020301","(C- 6- 2)23bcc-1 Cedar V Fur Farm","Well","54-Cedar V Fur Farm","16020201","160202010401",NULL,NULL,"40.28230200","-112.03427500",10,"ft","GPS-Unspecified","NAD83","4848.89000000","ft","Digital Elevation Model","NAVD88","UT","049","Water Supply/Production","100VLFL","Unconsolidated Sediment","ft","","","No","","","UGS-NGWMN","Yes","Trend","Background","","N100BSNRGB","320.00000000",NULL,"UGS sample","",16084,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000A9A3CD9E9C03B2B9B397B50830313030",NULL
138,"404425112384801","Big (Timpie) Spring (C- 1- 7) 9ccc-S1 ","Spring","404423112385001 big (timpie) spg","16020304","160203040508",NULL,NULL,"40.73980800","-112.64729800",10,"ft","GPS-Unspecified","NAD83","4228.67000000","ft","Digital Elevation Model","NAVD88","UT","045",NULL,"350SLRN","",NULL,"","","No","","","UGS-NGWMN","Yes","Trend","Background","","N400BSNRGC",NULL,NULL,"UGS sample","404425112384801",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C000000010000009484D4B69803A9B1A183B90808000000",NULL
139,"371710109305301","(D-40-22)29aab monastery","Well","Ut372860910951479","14080201","140802010510",NULL,NULL,"37.28607000","-109.51475700",10,"ft","GPS-Unspecified","NAD83","4348.20000000","ft","Digital Elevation Model","NAVD88","UT","037","Water Supply/Production","221BLUFS","","ft","","","No","","","UGS-NGWMN","Yes","Trend","Background","","300COPLTS","220.00000000",NULL,"UGS sample","",13138,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000A28CD7CCAC038DA3C8B99C0800000000",NULL
140,"373702109284401","Blanding Park","Well","Ut37610870810947874","14080201","140802010304",NULL,NULL,"37.61715100","-109.47871100",10,"ft","GPS-Unspecified","NAD83","6053.04000000","ft","Digital Elevation Model","NAVD88","UT","037","Irrigation","210DKOT","","ft","","","No","","","UGS-NGWMN","Yes","Trend","Suspected / Anticipated Changes","","300COPLTS","160.00000000",NULL,"UGS sample","",NULL,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C000000010000008AD3BFE5AC0381DCAF989F0800000000",NULL
141,"391159111543401","(C-18-1)34cba","Well","Ut391996511190967","16030003","160300030606",NULL,NULL,"39.19975400","-111.90953300",10,"ft","GPS-Unspecified","NAD83","5133.32000000","ft","Digital Elevation Model","NAVD88","UT","039","Water Quality Assessment","100VLFL","Unconsolidated Sediment","ft","Water Rights Link","","Yes","Trend","Background","UGS-NGWMN","Yes","Trend","Background","http://www.waterrights.utah.gov/cblapps/wrprint.exe?wrnum=63-90","300COPLTS","300.00000000",NULL,"UGS sample","",434604,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000AEA48DF89C0395B5BA9CAC0843384239",NULL
142,"404724111562501","Elementary Well","Well",NULL,"16020204","160202040405",NULL,NULL,"40.79017700","-111.94046700",10,"ft","GPS-Unspecified","NAD83","4214.50000000","ft","Digital Elevation Model","NAVD88","UT","035","Irrigation","100VLFL","Unconsolidated Sediment","ft","","","No","","","UGS-NGWMN","No","Trend","Suspected / Anticipated Changes","","N100BSNRGB","241.00000000",NULL,"UGS Sample","",427322,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C000000010000009286B2F09C03AFEA98B0B90880000000",NULL
143,"391026110472401","(D-19-10)15bab Buckhorn","Well","Ut391739611079017","14060009","140600090502",NULL,NULL,"39.17398300","-110.79011400",10,"ft","GPS-Unspecified","NAD83","5622.58000000","ft","Digital Elevation Model","NAVD88","UT","015","Other","221CRML","Fractured Bedrock","ft","Ut Div Water Rights link to well log","","Yes","Trend","Background","UGS-NGWMN","Yes","Trend","Background","","300COPLTS","476.00000000",NULL,"UGS Sample","",NULL,"1","Confined","0",-1,"93-1019",NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000BFC0FE91A4039FF9CFFDAB0838303030",NULL
144,"405456111522501","Church Well","Well","","16020102","160201020501",NULL,NULL,"40.91544800","-111.87547800",10,"ft","GPS-Unspecified","NAD83","4325.47000000","ft","Digital Elevation Model","NAVD88","UT","011","Water Supply/Production","100VLFL","","ft","",NULL,NULL,"","","UGS-NGWMN","No","Trend","","","N100BSNRGB","370.00000000",NULL,"UGS Sample","405456111522501",3073,"1","Confined","0",-1,"31-777",NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C000000010000008FF780A69D0394E8A2B4BA08E0010000",NULL
145,"411830111581501","Stump","Well","From plastic stump","16020102","160201020602",NULL,NULL,"41.30680800","-111.96940100",10,"ft","GPS-Unspecified","NAD83","4391.21000000","ft","Digital Elevation Model","NAVD88","UT","057","Other","100VLFL","Unconsolidated Sediment","ft","Water Rights Link","","No","","","UGS-NGWMN","No","Trend","Background","http://www.waterrights.utah.gov/cblapps/wrprint.exe?wrnum=35-3294","N100BSNRGB","245.00000000",NULL,"UGS Sample","411830111581501",NULL,"1","Confined","0",-1,"35-3294",NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000928A98DF9C03AADEB3D3BD0830313030",NULL
146,"410008111545401","Oak Ridge Country Club","Well","Farmington","16020102","160201020503",NULL,NULL,"41.00289400","-111.91667100",10,"ft","GPS-Unspecified","NAD83","4278.31000000","ft","Digital Elevation Model","NAVD88","UT","011","Irrigation","100VLFL","Unconsolidated Sediment",NULL,"",NULL,NULL,"","","UGS-NGWMN","No","Trend","Background","","N100BSNRGB",NULL,NULL,"UGS Sample","",NULL,"1","Confined","0",-1,"31-2706",NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000B2DFF2859D03A08C9891BB0868233401",NULL
147,"412857111554601","Maple Spring","Spring","","16010204","160102040502",NULL,NULL,"41.48262800","-111.93035300",10,"ft","GPS-Unspecified","NAD83","5225.49000000","ft","Digital Elevation Model","NAVD88","UT","003",NULL,"374BLMG","",NULL,"",NULL,"No","","","UGS-NGWMN","No","Trend","Background","http://www.waterrights.utah.gov/cblapps/wrprint.exe?wrnum=29-2659","N400BSNRGC",NULL,NULL,"UGS Sample","412857111554601",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000B892AE809D0394B49B8DBF0832303639",NULL
148,"414904111511001","GGG Well","Well",NULL,"16010202","160102020702",NULL,NULL,"41.81790700","-111.85266200",10,"ft","GPS-Unspecified","NAD83","4473.90000000","ft","Digital Elevation Model","NAVD88","UT","005","Stock","100VLFL","Unconsolidated Sediment","ft","Confined","","No","","","UGS-NGWMN","No","Trend","Background","http://1.usa.gov/1mxVvwg","N100BSNRGB","215.00000000",NULL,"UGS Sample","",NULL,"1","Confined","0",-1,"25-7654",NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000BD9CDDC19D039589C9EFC10842383932",NULL
149,"393759110205501","(D-14-14)9acb","Spring","Ut393758911020553","14060007","140600070903",NULL,NULL,"39.63300500","-110.34858600",10,"ft","GPS-Unspecified","NAD83","8608.11000000","ft","Digital Elevation Model","NAVD88","UT","007","","124DGCK","",NULL,"","","No","","","UGS-NGWMN","Yes","Trend","Background","","300COPLTS",NULL,NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000BB9C9AFAA6038EBD96E5AF0800000000",NULL
150,"392025110565901","(D-17-9)18ddb","Spring","Ut392024611056593","14060009","140600090105",NULL,NULL,"39.34016100","-110.94979100",10,"ft","GPS-Unspecified","NAD83","5779.91000000","ft","Digital Elevation Model","NAVD88","UT","015",NULL,"100VLFL","",NULL,"","","No","","","UGS-NGWMN","Yes","Trend","Background","","300COPLTS",NULL,NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C000000010000008C8FAD8EA3039DDDA7ADAD0860000000",NULL
151,"393841110514801","Carbon Country Club Spring","Spring","91-Ut393841211051484","14060007","140600070507",NULL,NULL,"39.64471300","-110.86340400",10,"ft","GPS-Unspecified","NAD83","5656.30000000","ft","Digital Elevation Model","NAVD88","UT","007","Water Supply/Production","100ALVM","",NULL,"","","No","","","UGS-NGWMN","No","Trend","Background","","N100BSNRGB",NULL,NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000A883EED4A303BD8ADCEFAF0830313030",NULL
152,"383210109285801","(26-22)15dca Golf Club","Well","Ut383210010928581","14030005","140300050403",NULL,NULL,"38.53613500","-109.48279100",10,"ft","GPS-Unspecified","NAD83","4589.36000000","ft","Digital Elevation Model","NAVD88","UT","019","Irrigation","220NVJO","Fractured Bedrock","ft","Div of water rights link to log(s)","","No","","","UGS-NGWMN","Yes","Trend","Background","http://www.waterrights.utah.gov/cblapps/wrprint.exe?wrnum=43-9745","300COPLTS","255.00000000",NULL,"UGS sample","",1216,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000BDE296D2AC0392C6E7E4A60830313030",NULL
153,"383922109253801","(D-25-22)01dad","Well","Ut383922010925378","14030005","140300050305",NULL,NULL,"38.65615300","-109.42720300",10,"ft","GPS-Unspecified","NAD83","4432.32000000","ft","Digital Elevation Model","NAVD88","UT","019","Monitoring","100VLFL","Unconsolidated Sediment","ft","","","Yes","Trend","Background","UGS-NGWMN","Yes","Trend","Background","","300COPLTS","80.00000000",NULL,"UGS sample","",35068,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C00000001000000B7E09AFEAC03A392CDE4A70830300030",NULL
154,"384113109391001","Courthouse Wash","Spring","Ut384112610939093 Arches NP","14030005","140300050204",NULL,NULL,"38.68682100","-109.65257600",10,"ft","GPS-Unspecified","NAD83","4284.84000000","ft","Digital Elevation Model","NAVD88","UT","019",NULL,"221ERAD","",NULL,"","","No","","","UGS-NGWMN","Yes","Trend","Background","","300COPLTS",NULL,NULL,"UGS sample","",NULL,"1","Unconfined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000BDC4DAC2AB03AFB08A82A808302E3030",NULL
155,"383040109281201","(D-26-22)26caa Easy St","Well","Ut390842411146023 (Rhonda*)","14030005","140300050403",NULL,NULL,"38.51117200","-109.46967900",10,"ft","GPS-Unspecified","NAD83","4677.08000000","ft","Digital Elevation Model","NAVD88","UT","019","Other","100VLFL","Unconsolidated Sediment","ft","Ut Div Water Rights link to well log","","No","","","UGS-NGWMN","Yes","Trend","Background","http://waterrights.utah.gov/docSys/v907/d907/d9070","300COPLTS","230.00000000",NULL,"UGS sample","",12084,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000B290C2DDAC03BC8EC9CAA60800000000",NULL
156,"374017113354802","(C-36-16)12bdd- 2","Well","SE of pivot N of road; Sample from tap N of well","16030006","160300061307",NULL,NULL,"37.67088800","-113.59788800",10,"ft","GPS-Unspecified","NAD83","5201.22000000","ft","Digital Elevation Model","NAVD88","UT","021","Irrigation","100VLFL","Unconsolidated Sediment","ft","Water Rights Link","","No","","","UGS-NGWMN","No","Trend","Background","http://www.waterrights.utah.gov/cblapps/chprint.exe?chnum=a36046","N100BSNRGB","502.00000000",NULL,"UGS Sample","",433784,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C000000010000009FFDFFDB910388D891E59F0842323930",NULL
